Year,Crude Oil,Coal,Natural Gas
1960,1.63,,0.14
1961,1.57,,0.15
1962,1.52,,0.16
1963,1.5,,0.16
1964,1.45,,0.15
1965,1.42,,0.16
1966,1.36,,0.16
1967,1.33,,0.16
1968,1.32,,0.16
1969,1.27,,0.17
1970,1.21,7.8,0.17
1971,1.69,8.68,0.18
1972,1.82,9.6,0.19
1973,2.81,11.48,0.21
1974,10.97,16.89,0.29
1975,10.43,26.84,0.43
1976,11.63,27.16,0.58
1977,12.57,28.68,0.79
1978,12.92,29.06,0.91
1979,30.96,30.89,1.18
1980,36.87,40.14,1.59
1981,35.48,53.62,1.98
1982,32.65,54.77,2.47
1983,29.66,38.19,2.59
1984,28.56,30.96,2.66
1985,27.18,33.75,2.51
1986,14.35,31.13,1.94
1987,18.15,27.5,1.66
1988,14.72,34.88,1.68
1989,17.84,38.0,1.7
1990,22.88,39.67,1.7
1991,19.37,39.67,1.49
1992,19.02,38.56,1.77
1993,16.84,31.33,2.12
1994,15.89,32.3,1.92
1995,17.18,39.37,1.72
1996,20.42,38.07,2.73
1997,19.17,35.1,2.48
1998,13.06,29.23,2.09
1999,18.07,25.89,2.27
2000,28.23,26.25,4.31
2001,24.35,32.31,3.96
2002,24.93,25.31,3.36
2003,28.9,26.09,5.49
2004,37.73,52.95,5.89
2005,53.39,47.62,8.92
2006,64.29,49.09,6.72
2007,71.12,65.73,6.98
2008,96.99,127.1,8.86
2009,61.76,71.84,3.95
2010,79.04,98.97,4.39
2011,104.01,121.45,4.0
2012,105.01,96.36,2.75
2013,104.08,84.56,3.72
2014,96.24,70.13,4.37
2015,50.75,58.94,2.61
2016,42.81,66.12,2.49
2017,52.81,88.52,2.96
2018,68.35,107.02,3.16
2019,61.41,77.89,2.57
2020,41.26,60.79,2.01
2021,69.07,138.05,3.85
